Two investments earn an annual income of NUMBER_0 dollars . One investment earns an annual simple interest rate of NUMBER_1 % , and the other investment earns an annual simple interest rate of NUMBER_2 % . The amount invested is NUMBER_3 dollars . How much money is invested in the first investment and second investment respectively ?	(a*0.01*m)+(b*0.01*n)+-c = 0, -d+m+n = 0
PERSON_1 invested NUMBER_0 dollars in 2 funds , which pay NUMBER_1 % and NUMBER_2 % simple interest respectively . The combined interest he earned for both funds was NUMBER_3 dollars for one year . How many dollars was invested at NUMBER_1 % ? How much was invested at NUMBER_2 % ?	(a*0.01*m)+(b*0.01*n)+-c = 0, -d+m+n = 0
There are NUMBER_0 douglas fir and ponderosa pine trees in a section of the forest bought by PERSON_2 logging company . The company paid an average of NUMBER_1 dollars for each douglas fir and NUMBER_2 dollars for each ponderosa pine . if the company paid NUMBER_3 dollars for the trees , how many firs and pines did they buy ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
NUMBER_0 times a number minus a second number is NUMBER_1 . The sum of the two numbers is NUMBER_2 . Find the two numbers .	(a*m)+-b+-n = 0, -c+m+n = 0
Adult tickets for a play cost NUMBER_0 dollars and the child tickets cost NUMBER_1 dollars . If there were NUMBER_2 people at a performance and the theater collected NUMBER_3 dollars from tickets sales , how many children attended the play ? How many adults attended the play ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
A car rents for NUMBER_0 dollars per day plus NUMBER_1 cents per mile . You are on a daily budget of NUMBER_2 dollars . What mileage can you go and stay within your budget ?	a+-b+(-c*0.01*m) = 0
Tickets for a ballet performance cost NUMBER_0 dollars for adults and NUMBER_1 dollars for students . If total receipts from the sale of NUMBER_2 tickets were NUMBER_3 dollars , how many adult tickets were sold ? How many student tickets were sold ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
On Monday , PERSON_2 picked up NUMBER_0 doughnuts and NUMBER_1 large coffees for the office staff . He paid NUMBER_2 dollars . On Tuesday PERSON_7 picked up NUMBER_3 doughnuts and NUMBER_4 large coffees for the office staff . She paid NUMBER_5 dollars . What is the cost of one doughnut ? What is the cost of one large coffee ?	(a*m)+(b*n)+-c = 0, (d*m)+(e*n)+-f = 0
Adult tickets for a play cost NUMBER_0 dollars and child tickets cost NUMBER_1 dollars . If there were NUMBER_2 people at a performance and the theater collected NUMBER_3 dollars from ticket sales , how many children attended the play ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
One number is NUMBER_0 less than twice another . If their sum is NUMBER_1 , find the numbers .	(a*m)+-b+-n = 0, -c+m+n = 0
PERSON_1 has a piggy bank consisting of nickels and dimes . If there are NUMBER_0 coins worth NUMBER_1 dollars , how many nickels and dimes are in the bank ?	(0.05*m)+(0.1*n)+-a = 0, -b+m+n = 0
The sum of NUMBER_0 and a number is NUMBER_1 .	a+-b+m = 0
NUMBER_0 footballs and NUMBER_1 soccer ball cost NUMBER_2 dollars . NUMBER_3 footballs and NUMBER_0 soccer balls cost NUMBER_4 dollars . Determine the cost of NUMBER_1 football and the cost of NUMBER_1 soccer ball , in dollars .	(a*m)+(b*n)+-c = 0, (d*n)+(b*m)+-e = 0
PERSON_1 purchased tickets to a circus for NUMBER_0 adults and NUMBER_1 children . The total cost was NUMBER_2 dollars . The cost of a child 's ticket was NUMBER_3 dollars less than the cost of an adult 's ticket . Find the price of an adult 's ticket and a child 's ticket .	(a*m)+(b*n)+-c = 0, -d+-m+n = 0
The admission fee at a small fair is NUMBER_0 dollars for children and NUMBER_1 dollars for adults . On a certain day , NUMBER_2 people enter the fair and NUMBER_3 dollars is collected . How many children and adults attended ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
Trinidad has NUMBER_0 dollars in nickels and dimes . If she has NUMBER_1 coins in all , how many nickels does she have ? How many dimes does she have ?	(0.05*m)+(0.1*n)+-a = 0, -b+m+n = 0
A new parking lot has spaces for NUMBER_0 cars . The ratio of spaces for full sized cars to compact cars is NUMBER_1 to NUMBER_2 . How many spaces are for full-sized cars ? How many spaces are for compact cars ?	(a*m)+(-b*n) = 0, -c+m+n = 0
The probability that San Francisco plays in the next super bowl is NUMBER_0 times the probability that they do not play in the next super bowl . The probability that San Francisco plays in the next super bowl plus the probability that they do not play is NUMBER_1 . What is the probability that San Francisco plays in the next super bowl ?	-a+m+n = 0, (-b*m)+n = 0
Tennis rackets can be packaged in cartons holding NUMBER_0 rackets each or in cartons holding NUMBER_1 rackets each . Yesterday 's packing slip showed that NUMBER_2 cartons were used to pack a total of NUMBER_3 rackets . How many cartons of NUMBER_0 rackets size were used yesterday ? How many cartons of NUMBER_1 rackets size were used yesterday ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
PERSON_1 invested NUMBER_0 dollars , part at NUMBER_1 % and part at NUMBER_2 % . If the total interest at the end of the year is NUMBER_3 dollars , how much did she invest at NUMBER_1 % ?	(a*0.01*m)+(b*0.01*n)+-c = 0, -d+m+n = 0
The sum of two numbers is NUMBER_0 and the difference is NUMBER_1 . Find the two numbers .	-a+-m+n = 0, -b+m+n = 0
A washer-dryer combination costs NUMBER_0 dollars . If the washer costs NUMBER_1 dollars more than the dryer , what does the washer cost ? How much does the dryer cost ?	-a+-m+n = 0, -b+m+n = 0
PERSON_1 invested NUMBER_0 dollars , part at NUMBER_1 % and part at NUMBER_2 % . If the total interest at the end of the year is NUMBER_3 dollars , how much did he invest at NUMBER_1 % ? How much at NUMBER_2 % ?	(a*0.01*m)+(b*0.01*n)+-c = 0, -d+m+n = 0
A chemist has a solution that is NUMBER_0 % alcohol and one that is NUMBER_1 % alcohol . He wants to make NUMBER_2 liters of a NUMBER_3 % solution . How many liters of the NUMBER_0 % solution should he add ? How many liters of the NUMBER_3 % solution should he add ?	(a*0.01*m)+(b*0.01*n)+(-c*d*0.01) = 0, -d+m+n = 0
PERSON_1 and PERSON_2 use a metal alloy that is NUMBER_0 % copper to make jewelry . How many ounces of a NUMBER_1 % alloy must be mixed with a NUMBER_2 % alloy to form NUMBER_3 ounces of the desired alloy ?	(a*0.01*m)+(b*0.01*n)+(-c*d*0.01) = 0, -d+m+n = 0
El Segundo High School put on their annual musical . The students sold NUMBER_0 tickets for a value of NUMBER_1 dollars . If orchestra seats cost NUMBER_2 dollars and balcony seats cost NUMBER_3 dollars , how many orchestra seats were sold , and how many balcony seats were sold ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
The product of NUMBER_0 and a number is the same as NUMBER_1 less twice that same number . Find the number .	(a*m)+-b+(-c*m) = 0
If the product of NUMBER_0 and a number is increased by NUMBER_1 , the result is NUMBER_2 . What is the number ?	a+-b+(-c*m) = 0
A painting is NUMBER_0 inches tall and NUMBER_1 inches wide . A print of the painting is NUMBER_2 inches tall , how wide is the print in inches ?	(a*m)+-b = 0, (-c*m)+n = 0
The tallest player on the basketball team is NUMBER_0 inches tall . This is NUMBER_1 inches taller than the shortest player . How tall is the shortest player , in inches ?	a+-b+m = 0
The sum of two numbers is NUMBER_0 , one number is NUMBER_1 more than the other . Find the numbers .	-a+-m+n = 0, -b+m+n = 0
Two cars leave the same point , traveling in opposite directions . If one travels at a constant speed of NUMBER_0 miles per hour and the other travels at a constant speed of NUMBER_1 miles per hour . In how many hours will they be NUMBER_2 miles apart ?	(a*m)+(b*m)+-c = 0
The Kings won NUMBER_0 less than three times as many games as they lost . They played NUMBER_1 games . How many wins and losses did the team have ?	(a*m)+-b+-n = 0, -c+m+n = 0
The difference between NUMBER_0 times a number and -8 is -12 . Find the number .	(a*m)+-b+-c = 0
Tickets cost NUMBER_0 dollars for students , and NUMBER_1 dollars for general admission . You sell NUMBER_2 tickets and collect NUMBER_3 dollars . How many student tickets did you sell , and how many general admission tickets did you sell ?	(a*m)+(b*n)+-c = 0, -d+m+n = 0
A motorist drove NUMBER_0 hours at NUMBER_1 speed and then for NUMBER_2 hours at another speed . He covered a distance of NUMBER_3 kilometers . If he had travelled NUMBER_4 hours at the NUMBER_1 speed and NUMBER_1 hour at the NUMBER_0 speed , he would have covered NUMBER_5 kilometers . Find NUMBER_0 speeds ?	(a*m)+(b*n)+-c = 0, (d*m)+(e*n)+-f = 0
